id,root_id,name,mob_type,assigned_role,special_role,real_name,mind_name,death_x,death_y,death_z,time_of_death,from_suicide,last_attacker_name
1,49268,Lucas Gibson,"",Bartender,"",Lucas Gibson,Lucas Gibson,92,132,2,37331.6015625,0,""
2,49269,Rafael Sunders,"",Test Subject,"",Rafael Sunders,Rafael Sunders,99,124,2,6295.7998046875,0,Raistlin the Dragon Spook
3,49269,Max Woodward,"",Security Officer,"",Max Woodward,Max Woodward,104,114,2,7221.7998046875,0,Raistlin the Dragon Spook
4,49269,Curly Mens,"",Head of Security,"",Curly Mens,Curly Mens,120,156,2,8838.599609375,0,""
5,49269,Dennis Greene,"",Security Officer,"",Dennis Greene,Dennis Greene,117,177,2,9346.599609375,0,""
6,49269,Kaylie Pennington,"",Scientist,"",Kaylie Pennington,Kaylie Pennington,119,165,2,9905.7998046875,0,""
7,49269,George Kropotkin,"",Warden,"",George Kropotkin,George Kropotkin,120,171,2,10423.400390625,0,""
8,49269,Violet Velorum,"",Security Officer,"",Violet Velorum,Violet Velorum,118,171,2,10446.2001953125,0,""
9,49269,Tel Zaker,"",Medical Doctor,"",Tel Zaker,Tel Zaker,148,115,2,12398.599609375,0,""
10,49269,Unknown,"",Mime,"",Toby Bush,Toby Bush,160,164,2,17026.599609375,0,""
11,49269,Stas Zhorov,"",Chemist,"",Stas Zhorov,Stas Zhorov,62,143,2,18466.19921875,0,""
12,49269,Unknown (as Troy Orgail),"",Botanist,"",Troy Orgail,Troy Orgail,66,154,2,19647,0,""
13,49269,Max Russell,"",Xenoarchaeologist,"",Max Russell,Max Russell,70,125,2,21926.19921875,0,""
14,49269,Unknown (as Arkadiy Babushkin),"",Technical Assistant,"",Arkadiy Babushkin,Arkadiy Babushkin,75,141,2,22406.599609375,0,""
15,49270,Unknown (as Kevin Armagedon),"",Test Subject,"",Kevin Armagedon,Kevin Armagedon,97,124,2,12856.2001953125,0,""
16,49270,Tel Zaker,"",Security Officer,"",Tel Zaker,Tel Zaker,128,180,2,15117.400390625,0,""
17,49270,Rafael Sunders,"",Test Subject,Traitor,Rafael Sunders,Rafael Sunders,126,180,2,15435.7998046875,0,Tel Zaker
18,49270,Unknown,"",Test Subject,"",Kevin Armagedon,Kevin Armagedon,144,104,2,18076.19921875,0,""
19,49270,Unknown,"",Test Subject,"",Kevin Armagedon,Kevin Armagedon,144,104,2,22096.19921875,0,""
20,49270,Unknown,"",Mime,"",Sergey Sverlov,Sergey Sverlov,111,191,2,35496.19921875,0,Max Woodward
21,49270,Unknown,"",Clown,"",Patches,Patches,111,192,2,36896.19921875,0,N.Teller
22,49270,Unknown,"",Test Subject,Traitor,Rafael Sunders,Rafael Sunders,109,185,2,37056.19921875,0,RAW
23,49272,Linton Compton,"",Security Cadet,"",Linton Compton,Linton Compton,104,142,2,98933.296875,0,""
24,49275,Lillie Teagarden,"",Paramedic,"",Lillie Teagarden,Lillie Teagarden,144,114,2,5182.10009765625,0,""
25,49275,Vladimir Nesterenko,"",Test Subject,"",Vladimir Nesterenko,Vladimir Nesterenko,186,205,5,87442.1015625,0,""
26,49280,Cynthia Swabey,"",Medical Doctor,"",Cynthia Swabey,Cynthia Swabey,98,164,2,34285.5,0,""
27,49281,Bryce Peters,"",Xenoarchaeologist,"",Bryce Peters,Bryce Peters,121,188,6,10146.5,0,""
28,49281,Jason Snyder,"",Research Assistant,"",Jason Snyder,Jason Snyder,164,108,2,32746.5,0,""
